#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,destinationHost,requestType,requestUUID,resource,sourceHost,timestamp,unit
,,51,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:07:24.46405111Z,9.639674,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,920e3e68-58ce-4356-ad20-27818074e7fa,/temperature,gateway1-edge-iot-simulator,1712189244411911306,ms
,,52,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:34:24.138839587Z,8.947039,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,9b2915f3-91b6-4421-b174-cd498027a1db,/temperature,gateway1-edge-iot-simulator,1712187264087694364,ms
,,53,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:35:24.73412835Z,8.746623,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,9b47715d-8a18-4c94-867f-7de7d4babc0f,/temperature,gateway1-edge-iot-simulator,1712190924683636807,ms
,,54,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:32:24.121673203Z,8.820391,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,a251e43f-bbed-4b73-8961-f26fd1d25bec,/temperature,gateway1-edge-iot-simulator,1712187144069063235,ms
,,55,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:31:24.113310409Z,9.786292,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,a329e228-efd0-4d33-a11d-d88b63265e06,/temperature,gateway1-edge-iot-simulator,1712187084059819927,ms
,,56,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:12:24.513408059Z,9.315471,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,a3f0ef04-f197-4736-a2e6-5bffdf38e6ce,/temperature,gateway1-edge-iot-simulator,1712189544462075975,ms
,,57,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:48:24.85887446Z,9.130253,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,a83dba47-4da0-4dda-a3c3-103c0251b3de,/temperature,gateway1-edge-iot-simulator,1712191704808269090,ms
,,58,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:40:24.781182362Z,9.186894,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,aaf848ef-bc50-422e-867a-38787aa1981b,/temperature,gateway1-edge-iot-simulator,1712191224730413829,ms
,,59,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-04T00:30:24.690894396Z,9.290921,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,ab24464d-cf0c-494e-a65c-bdaeb9922912,/temperature,gateway1-edge-iot-simulator,1712190624636291465,ms
,,60,2024-03-06T09:06:26.5274872Z,2024-04-05T09:06:26.5274872Z,2024-04-03T23:56:24.356562854Z,9.066601,value,REQUEST,https://h5138.pi.uni-bamberg.de:80,req_rtt,adae880f-ec71-48f7-b1fb-576474aa9661,/temperature,gateway1-edge-iot-simulator,1712188584303215636,ms
